hai	2.4	1.0	3,2,2,4,2,2,3,2,1,3
merekam	1.6	1.0	-1,2,2,1,0,4,2,2,2,2
ekstensif	2.4	1.0	3,2,3,4,2,1,4,1,4,0
detail	1.6	1.0	2,3,2,1,3,2,0,1,0,2
pernik	2.4	1.0	3,0,3,4,3,3,2,1,4,1
belas	1.6	1.0	1,2,1,2,0,0,2,3,3,2
welas	3.2	1.0	4,3,3,4,3,3,2,3,4,3
kabung	0.8	1.0	2,1,-1,1,1,1,2,1,1,-1
rahayu	3.2	1.0	1,3,4,4,3,4,3,2,4,4
maaf	1.6	1.0	2,2,2,0,2,2,1,1,2,2
hello	1.6	1.0	1,1,1,2,3,2,3,2,1,0
promo	2.4	1.0	3,3,2,1,3,3,1,2,3,3
terimakasih	4.0	1.0	4,4,4,4,4,4,4,4,4,4
cover	2.4	1.0	4,3,4,2,1,2,1,3,2,2
mohon	1.6	1.0	1,2,1,2,3,1,1,1,2,2
mengawal	1.6	1.0	1,3,2,0,2,1,2,2,0,3
statistik	0.8	1.0	1,3,1,1,1,1,0,1,-1,0
keluangan	2.4	1.0	3,3,2,1,2,3,2,3,2,3
jalan terbuka	2.4	1.0	2,2,4,2,2,2,2,3,2,3
banyaknya	2.4	1.0	3,4,1,4,1,3,2,2,2,2
lebar	2.4	1.0	2,2,4,1,3,3,2,2,3,2
bentang	0.8	1.0	1,0,1,0,0,2,1,0,2,1
hendaknya	0.8	1.0	2,0,0,0,2,1,1,1,2,-1
silahkan	2.4	1.0	2,3,2,3,2,3,2,3,2,2
semboyan	1.6	1.0	3,3,0,0,3,0,2,2,1,2
ditunggu	1.6	1.0	2,2,2,2,2,2,1,2,0,1
akses	1.6	1.0	0,3,0,2,1,2,2,2,2,2
penerangan	1.6	1.0	3,2,1,1,2,1,1,1,3,1
hi	0.8	1.0	1,2,0,1,0,0,1,2,1,0
dibantu	1.6	1.0	2,3,1,0,1,2,0,3,1,3
makasih	3.2	1.0	4,3,4,3,4,3,3,4,1,3
halo	0.8	1.0	-3,1,0,2,0,3,2,0,2,1
thanks	2.4	1.0	3,3,2,3,3,3,3,1,-1,4
pengembangan	2.4	1.0	3,3,1,2,2,4,0,4,1,4
diva	1.6	1.0	1,3,1,2,1,1,1,0,4,2
tidak segan	1.6	1.0	3,2,1,3,2,0,4,1,1,-1
detailnya	0.8	1.0	2,-1,1,0,2,2,1,1,0,0
tak segan	1.6	1.0	2,1,2,1,1,1,1,0,3,4
aktivasi	1.6	1.0	1,-1,2,2,3,2,2,2,0,3
asih	2.4	1.0	2,2,2,3,1,4,4,1,3,2
kasih sayang	4.0	1.0	4,4,4,4,4,4,4,4,4,4
kekaguman	3.2	1.0	4,1,2,3,4,4,4,3,3,4
kehangatan	3.2	1.0	4,0,3,4,2,4,4,3,4,4
afeksi	1.6	1.0	2,2,1,2,2,0,0,1,3,3
renjana	1.6	1.0	0,3,1,2,2,-1,3,2,2,2
amor	1.6	1.0	1,1,3,1,0,2,3,0,4,1
cinta kasih	4.0	1.0	4,4,4,4,4,4,4,4,4,4
tresna	1.6	1.0	1,1,2,2,1,3,1,2,1,2
filantropi	1.6	1.0	0,4,3,2,1,0,2,1,2,1
cintrong	1.6	1.0	3,0,1,2,0,2,2,1,3,2
suasana (hati)	0.8	1.0	1,0,1,2,1,2,2,-1,0,0
dinamika	2.4	1.0	2,3,3,2,1,2,4,1,3,3
tuhan	2.4	1.0	3,3,3,2,4,3,2,2,2,0
merespon	2.4	1.0	1,3,2,4,4,3,4,2,1,0
makmur	3.2	1.0	3,3,3,4,4,3,4,3,3,2
suka cita	3.2	1.0	4,3,4,2,3,4,2,4,4,2
pengguna	0.8	1.0	1,1,-1,0,1,0,2,1,2,1
tunggu	0.8	1.0	1,1,1,1,0,2,-1,1,0,2
lotre	1.6	1.0	2,3,4,1,1,-1,1,0,4,1
nggak	0.8	1.0	1,1,0,1,0,1,1,1,2,0
kupon	2.4	1.0	2,2,2,3,2,2,3,4,1,3
terpelihara	3.2	1.0	4,4,4,3,2,2,4,4,2,3
terawat	4.0	1.0	4,4,4,4,4,4,4,4,4,4
tersadar	2.4	1.0	3,1,1,3,3,3,3,2,3,2
tari	0.8	1.0	1,1,0,1,2,2,0,0,1,0
gejolak	0.8	1.0	0,0,1,0,1,3,2,0,0,1
kejutan	2.4	1.0	2,2,4,2,1,4,4,2,2,1
pesta	3.2	1.0	3,4,3,4,4,4,3,3,1,3
getar	0.8	1.0	2,0,0,1,1,1,-1,3,0,1
allah	4.0	1.0	4,4,4,4,4,4,4,4,4,4
berlabuh	2.4	1.0	1,4,4,3,3,2,2,2,1,2
terdaftar	0.8	1.0	-1,2,0,0,0,1,3,2,-1,2
negosiasi	1.6	1.0	3,0,3,2,0,2,2,0,2,2
revolusioner	2.4	1.0	2,2,1,4,2,4,2,3,3,1
follback	0.8	1.0	0,1,1,2,3,0,2,0,0,-1
pelaminan	3.2	1.0	4,4,3,4,3,3,3,3,2,3
yasalamualaika	2.4	1.0	3,3,3,1,4,3,1,3,0,3
uang lelah	1.6	1.0	0,0,-1,3,3,2,1,3,2,3
parsel	1.6	1.0	-1,2,2,1,0,3,4,1,2,2
amplop	2.4	1.0	2,4,3,2,2,2,2,2,3,2
kenang-kenangan	2.4	1.0	4,4,1,2,1,3,2,3,2,2
pengasih	3.2	1.0	3,4,3,4,3,1,4,2,4,4
uang rokok	1.6	1.0	0,2,3,2,4,2,0,2,-1,2
persenan	1.6	1.0	3,2,2,2,1,2,0,2,1,1
baksis	1.6	1.0	1,2,3,1,3,0,1,3,0,2
tanda mata	1.6	1.0	1,4,3,2,1,1,1,0,1,2
angpau	3.2	1.0	3,2,4,2,4,2,3,4,4,4
hibah	3.2	1.0	2,4,4,3,4,4,4,3,2,2
upa	1.6	1.0	1,2,0,2,1,1,2,2,2,3
bingkisan	3.2	1.0	2,3,4,3,4,2,4,4,3,3
suvenir	3.2	1.0	2,3,4,4,4,2,3,3,3,4
kesudian	1.6	1.0	0,0,1,1,3,2,2,2,2,3
berakar	1.6	1.0	3,1,1,2,1,3,1,1,2,1
para-para	1.6	1.0	4,0,1,3,1,2,4,-2,1,2
termakan	0.8	1.0	0,2,1,1,1,1,0,1,1,0
kemasyhuran	3.2	1.0	4,4,4,4,4,2,4,1,2,3
reputasi	1.6	1.0	2,1,1,1,3,1,3,2,2,0
gelar	1.6	1.0	3,1,0,2,1,1,2,4,1,1
serep	1.6	1.0	1,3,2,0,1,1,2,2,2,2
invite	0.8	1.0	2,1,0,1,2,1,-2,1,1,1
nyanyian	1.6	1.0	1,3,3,-1,1,1,3,2,1,2
dendang	1.6	1.0	1,1,2,2,2,2,2,1,2,1
gita	1.6	1.0	4,0,1,1,2,2,2,1,1,2
gending	0.8	1.0	1,2,1,2,1,1,1,-1,1,-1
lagu	1.6	1.0	0,2,3,2,2,3,0,2,0,2
rintisan	1.6	1.0	3,0,2,3,1,0,2,4,1,0
bergelora	1.6	1.0	4,2,1,1,1,1,0,0,2,4
antusias	1.6	1.0	3,1,2,1,1,1,1,1,2,3
ringan tangan	3.2	1.0	3,3,4,4,2,4,4,2,3,3
membara	1.6	1.0	3,1,3,1,2,0,3,2,1,0
menyala	1.6	1.0	1,2,1,3,2,3,1,1,1,1
berlangganan	1.6	1.0	3,4,-1,1,1,2,2,1,1,2
berdenyut	1.6	1.0	2,1,3,1,2,2,0,3,1,1
bersungguh-sungguh	3.2	1.0	3,3,4,4,4,2,2,3,3,4
rintis	1.6	1.0	1,1,1,1,3,4,2,2,1,0
jalan bebas hambatan	1.6	1.0	1,2,2,1,3,1,0,2,1,3
tarekat	1.6	1.0	2,1,2,1,2,0,1,2,3,2
bajing	0.8	1.0	0,2,1,1,1,1,1,0,0,1
bopong	0.8	1.0	1,0,-1,2,2,0,1,3,0,0
berlezat	1.6	1.0	2,1,4,0,2,2,1,2,1,1
getaran	0.8	1.0	1,0,0,1,0,2,0,2,1,1
berperan serta	1.6	1.0	2,2,1,2,0,-1,2,3,2,3
debar	1.6	1.0	1,1,2,4,1,3,0,4,0,0
raba	0.8	1.0	-2,2,2,0,1,2,2,1,1,-1
degub	0.8	1.0	3,0,0,1,0,1,1,2,0,0
ikut serta	2.4	1.0	2,1,1,2,4,2,3,3,2,4
berpartisipasi	2.4	1.0	3,4,3,2,2,0,3,4,2,1
menguntiti	0.8	1.0	-1,0,0,0,0,2,1,3,1,2
penghayatan	2.4	1.0	3,3,3,1,3,1,3,3,3,1
mitra	1.6	1.0	1,3,2,1,3,2,-1,1,1,3
