timestamp,text
2016-12-30T06:37:56.000Z,ADIL loh utk yg punya kebijakan publik & negara Ingat yg ini!!! @jokowi @ZUL_Hasan @DPR_RI @kemkominfo @rudiantara_id @sn_setyanovanto
2016-12-30T06:30:36.000Z,"Tertibkan Media Online, DPR: Pemerintah Jangan Sporadis, Apalagi Selektif Hanya kepada Media yang Berseberangan http://dlvr.it/N0GcNs"
2016-12-30T04:48:35.000Z,"@Portal_Kemlu_RI @DPR_RI @jokowi harus dievaluasi lg kebijakan bebas visa, trutama utk negara tiongkok pak!! bahaya tersembunyi martabat RI"
2016-12-30T04:21:40.000Z,"jangan ngambang, aturan logis apa undang-undang @DPR_RI"
2016-12-30T02:36:13.000Z,"6. Kebebasan bersuara & berpendapat memang dijamin UU. Namun kebebasan tersebut tdk harus kebablasan, sehingga menabrak aturan-aturan logis."
2016-12-30T02:52:25.000Z,Anggota Komisi IX DPR Okky Asokawati: Evaluasi dan Moratorium Kebijakan Bebas Visa http://dpr.go.id/berita/detail/id/15103…
2016-12-30T01:18:56.000Z,Anggota DPR-RI Komisi II Dari Fraksi NasDem Gelar Reses di Lampura http://cahyamedia.co.id/anggota-dpr-ri-komisi-ii-dari-fraksi-nasdem-gelar-reses-di-lampura/… lewat @Portal Dinamika Lampung
2016-12-30T00:50:51.000Z,Wapres Minta Kebijakan Bebas Visa Dievaluasi http://cnnindonesia.com/gaya-hidup/20161229094851-269-182828/wapres-minta-kebijakan-bebas-visa-dievaluasi/… #csps #policy @pak_jk @DPR_RI @Portal_Kemlu_RI @imigrasiRI
2016-12-29T16:20:02.000Z,"Asal Sesuai Undang-Undang, Anggota DPR Ini Setuju Usul Duterte http://bit.ly/2hsirdt"
2016-12-29T11:52:05.000Z,Saat memberikan makanan bergizi bantuan Kemenkes RI untuk balita di bbrp wil di DIY. #Reses @SBYudhoyono @PDemokrat @DPR_RI @FPD_DPR
2016-12-29T11:42:17.000Z,Saat bertemu Kel Ternak Gemah Ripah dan KUB Sido Makmur di Kulon Progo yg trm UPPO Rp200 jt #Reses @SBYudhoyono @PDemokrat @DPR_RI @FPD_DPR
2016-12-29T11:35:55.000Z,Turba ke Masjid Baiturrochman Kulon Progo yg Pernah Terima Bantuan PKBL BRI Rp 60 Juta #reses @SBYudhoyono @PDemokrat @DPR_RI @FPD_DPR
2016-12-29T08:51:26.000Z,"@wartapolitik, kebijakan yang salah mengawasi."
2016-12-29T07:01:33.000Z,"Sidang Rapat Paripurna PAW, Tiga Anggota DPR Aceh Diganti https://goo.gl/0xgGOK"
2016-12-29T03:36:27.000Z,Butuh kebijakan konkret untuk mengeksplorasi #EnergiPanasBumi untuk kebutuhan listrik nasional yang semakin meningkat.
2016-12-29T03:14:38.000Z,"@sandiuno Mr. Sandi,CA mohon bantuan utk tanda tangani Petisi Ke Ketua dan Wkl Ketua DPR...Salam Profesional ,https://change.org/p/ketua-dan-para-wakil-ketua-dpr-ri-perlunya-ruu-pelaporan-keuangan-untuk-dunia-bisnis-usaha-di-indonesia…?"
2016-12-29T00:49:57.000Z,"Pagi all, tiada yang lebih baik dari silaturrahim dengan konstituen. Tetap menyambangi rakyat. Edisi Reses @BeritaPKB @cakiminpkb @DPR_RI"
2016-12-28T12:33:03.000Z,"Anggota Komisi II DPR RI, Hetifah Gelar Reses di Kabupaten Berau http://beraunews.com/politik-pemerintahan/pemerintahan/2191-anggota-komisi-ii-dpr-ri-hetifah-gelar-reses-di-kabupaten-berau…"
