no,timestamp,teks,teks_processed,teks_translated
1,2016-12-30T06:37:56.000Z,ADIL loh utk yg punya kebijakan publik negara Ingat yg ini!!!,ADIL loh untuk yang punya kebijakan publik negara ingat yang ini ! !,"FAIR, for those who have state public policy, remember this! !"
2,2016-12-30T06:30:36.000Z,Tertibkan Media Online DPR Pemerintah Jangan Sporadis Apalagi Selektif Hanya kepada Media yang Berseberangan,tertibkan media online DPR pemerintah jangan sporadis apalagi selektif hanya kepada media yang berseberangan,"Regulate online media from the DPR government, don't be sporadic, let alone selective, only towards opposing media"
3,2016-12-30T04:48:35.000Z,harus dievaluasi lg kebijakan bebas visa trutama utk negara tiongkok pak!! bahaya tersembunyi martabat RI,harus dievaluasi lagi kebijakan bebas visa terutama untuk negara tiongkok pak ! ! bahaya tersembunyi martabat RI,"The visa-free policy must be evaluated again, especially for China, sir! ! hidden danger to RI's dignity"
4,2016-12-30T04:21:40.000Z,jangan ngambang aturan logis apa undang undang,jangan ngambang aturan logis apa undang undang,Don't wonder about logical rules or laws
5,2016-12-30T02:36:13.000Z,Kebebasan bersuara berpendapat memang dijamin UU Namun kebebasan tersebut tdk harus kebablasan sehingga menabrak aturan aturan logis,kebebasan bersuara berpendapat memang dijamin UU tetapi kebebasan tersebut tidak harus kebablasan sehingga menabrak aturan aturan logis,"Freedom of expression is guaranteed by law, but this freedom does not have to be so excessive that it violates logical rules"
6,2016-12-30T02:52:25.000Z,Anggota Komisi IX DPR Okky Asokawati Evaluasi dan Moratorium Kebijakan Bebas Visa,anggota komisi IX DPR okky asokawati evaluasi dan moratorium kebijakan bebas visa,"Member of Commission IX of the DPR, Okky Asokawati, evaluation and moratorium on the visa-free policy"
7,2016-12-30T01:18:56.000Z,Anggota DPR RI Komisi II Dari Fraksi NasDem Gelar Reses di Lampura lewat Dinamika Lampung,anggota DPR RI komisi II dari fraksi nasdem gelar reses di lampura lewat dinamika lampung,DPR RI Commission II members from the Nasdem faction held a recess in Lampura through Lampung dynamics
8,2016-12-30T00:50:51.000Z,Wapres Minta Kebijakan Bebas Visa Dievaluasi csps policy,wapres meminta kebijakan bebas visa dievaluasi csps policy,The vice president asked for the visa-free policy to be evaluated by the CSPS policy
9,2016-12-29T16:20:02.000Z,Asal Sesuai Undang Undang Anggota DPR Ini Setuju Usul Duterte,asal sesuai undang undang anggota DPR ini setuju usul duterte,"As long as according to the law, members of this DPR agree to Duterte's proposal"
10,2016-12-29T11:52:05.000Z,Saat memberikan makanan bergizi bantuan Kemenkes RI untuk balita di bbrp wil di DIY Reses,saat memberikan makanan bergizi bantuan kemenkes RI untuk balita di beberapa wil di DIY reses,when providing nutritious food with assistance from the Indonesian Ministry of Health for toddlers in several regions in DIY during the recess
11,2016-12-29T11:42:17.000Z,Saat bertemu Kel Ternak Gemah Ripah dan KUB Sido Makmur di Kulon Progo yg trm UPPO Rp jt Reses,saat bertemu keluarga ternak gemah ripah dan KUB sido makmur di kulon progo yang trm UPPO rp juta reses,when meeting the Gemah Ripah livestock family and KUB Sido Prosperous in Kulon Progo who received UPPO IDR million during the recess
12,2016-12-29T11:35:55.000Z,Turba ke Masjid Baiturrochman Kulon Progo yg Pernah Terima Bantuan PKBL BRI Rp Juta reses,turba ke masjid baiturrochman kulon progo yang pernah terima bantuan PKBL BRI rp juta reses,"Turba went to the Baiturrochman Mosque in Kulon Progo, which had received BRI PKBL assistance of IDR million during the recess"
13,2016-12-29T08:51:26.000Z,kebijakan yang salah mengawasi,kebijakan yang salah mengawasi,wrong monitoring policy
14,2016-12-29T07:01:33.000Z,Sidang Rapat Paripurna PAW Tiga Anggota DPR Aceh Diganti,sidang rapat paripurna PAW tiga anggota DPR aceh diganti,PAW plenary session three members of the Aceh DPR were replaced
15,2016-12-29T03:36:27.000Z,Butuh kebijakan konkret untuk mengeksplorasi EnergiPanasBumi untuk kebutuhan listrik nasional yang semakin meningkat,butuh kebijakan konkret untuk mengeksplorasi energipanasbumi untuk kebutuhan listrik nasional yang semakin meningkat,concrete policies are needed to explore geothermal energy for the increasing national electricity needs
16,2016-12-29T03:14:38.000Z,Mr Sandi CA mohon bantuan utk tanda tangani Petisi Ke Ketua dan Wkl Ketua DPR Salam Profesional,mr sandi CA mohon bantuan untuk tanda tangani petisi ke ketua dan wkl ketua DPR salam profesional,"Mr. Sandi CA asks for help in signing the petition to the chairman and deputy chairman of the DPR, professional greetings"
17,2016-12-29T00:49:57.000Z,Pagi all tiada yang lebih baik dari silaturrahim dengan konstituen Tetap menyambangi rakyat Edisi Reses,pagi all tiada yang lebih baik dari silaturrahim dengan konstituen tetap menyambangi rakyat edisi reses,"Morning everyone, there is nothing better than friendship with constituents who continue to visit the people in the recess edition"
18,2016-12-28T12:33:03.000Z,Anggota Komisi II DPR RI Hetifah Gelar Reses di Kabupaten Berau,anggota komisi II DPR RI hetifah gelar reses di kabupaten berau,Member of Commission II DPR RI Hetifah held a recess in Berau Regency
