timestamp,username,text,url_pencarian
2018-12-30T22:46:31.000Z,@ZainalLAW,"Inilah ""Wakil Rakyat"" yang tidak mewakili aspirasi rakyat dan sudah jadi idiot. Bencana pun dijadikan bahan lawakan sama dia.",https://x.com/search?q=(%22DPR%20RI%22%20OR%20%22Dewan%20Perwakilan%20Rakyat%22%20OR%20%22anggota%20DPR%22%20OR%20%22wakil%20rakyat%22%20OR%20%22Komisi%20DPR%22%20OR%20%22Gedung%20DPR%22)%20(%22RUU%22%20OR%20%22undang-undang%22%20OR%20%22kebijakan%22%20OR%20%22pengesahan%22%20OR%20%22reses%22%20OR%20%22rapat%20paripurna%22%20OR%20%22aspirasi%20rakyat%22)%20since%3A2018-01-01%20until%3A2018-12-31&src=typed_query&f=live
2018-12-30T15:42:58.000Z,N/A,"Banyak sekali bencana di era rezim ini, pertanda apakah? (pertanyaan ini utk memberi makan kecebong akhir tahun ) x.com/republikaonlin…",https://x.com/search?q=(%22DPR%20RI%22%20OR%20%22Dewan%20Perwakilan%20Rakyat%22%20OR%20%22anggota%20DPR%22%20OR%20%22wakil%20rakyat%22%20OR%20%22Komisi%20DPR%22%20OR%20%22Gedung%20DPR%22)%20(%22RUU%22%20OR%20%22undang-undang%22%20OR%20%22kebijakan%22%20OR%20%22pengesahan%22%20OR%20%22reses%22%20OR%20%22rapat%20paripurna%22%20OR%20%22aspirasi%20rakyat%22)%20since%3A2018-01-01%20until%3A2018-12-31&src=typed_query&f=live
2018-12-30T16:23:31.000Z,@V4nn,Pertanda byk anggota DPR makan gaji buta ga ad RUU yg bs dibikin. #2019GantianggotaDPR,https://x.com/search?q=(%22DPR%20RI%22%20OR%20%22Dewan%20Perwakilan%20Rakyat%22%20OR%20%22anggota%20DPR%22%20OR%20%22wakil%20rakyat%22%20OR%20%22Komisi%20DPR%22%20OR%20%22Gedung%20DPR%22)%20(%22RUU%22%20OR%20%22undang-undang%22%20OR%20%22kebijakan%22%20OR%20%22pengesahan%22%20OR%20%22reses%22%20OR%20%22rapat%20paripurna%22%20OR%20%22aspirasi%20rakyat%22)%20since%3A2018-01-01%20until%3A2018-12-31&src=typed_query&f=live
2018-12-30T10:36:56.000Z,@azmimandaa,"masih mahasiswa disuruh evaluasi undang-undang, pas jadi anggota dpr tidur pas rapat kecapean waktu masih mahasiswa udah disuruh evaluasi undang-undang.",https://x.com/search?q=(%22DPR%20RI%22%20OR%20%22Dewan%20Perwakilan%20Rakyat%22%20OR%20%22anggota%20DPR%22%20OR%20%22wakil%20rakyat%22%20OR%20%22Komisi%20DPR%22%20OR%20%22Gedung%20DPR%22)%20(%22RUU%22%20OR%20%22undang-undang%22%20OR%20%22kebijakan%22%20OR%20%22pengesahan%22%20OR%20%22reses%22%20OR%20%22rapat%20paripurna%22%20OR%20%22aspirasi%20rakyat%22)%20since%3A2018-01-01%20until%3A2018-12-31&src=typed_query&f=live
2018-12-30T09:42:49.000Z,@hamidari2,pembahasan rancangan undang-undang pemilihan umum yang tengah berlangsung di DPR RI.,https://x.com/search?q=(%22DPR%20RI%22%20OR%20%22Dewan%20Perwakilan%20Rakyat%22%20OR%20%22anggota%20DPR%22%20OR%20%22wakil%20rakyat%22%20OR%20%22Komisi%20DPR%22%20OR%20%22Gedung%20DPR%22)%20(%22RUU%22%20OR%20%22undang-undang%22%20OR%20%22kebijakan%22%20OR%20%22pengesahan%22%20OR%20%22reses%22%20OR%20%22rapat%20paripurna%22%20OR%20%22aspirasi%20rakyat%22)%20since%3A2018-01-01%20until%3A2018-12-31&src=typed_query&f=live
2018-12-30T05:17:01.000Z,@irengasmara,"Dalam pidato penyampaian keterangan pemerintah atas RAPBN 2019 beserta nota keuangannya di depan Rapat Paripurna DPR RI pada Kamis, 16 Agustus 2018, Jokowi menyampaikan Pemerintah akan menaikkan gaji pokok Menaikkan Gaji PNS, TNI, dan Polri #Kenangan2018Ku",https://x.com/search?q=(%22DPR%20RI%22%20OR%20%22Dewan%20Perwakilan%20Rakyat%22%20OR%20%22anggota%20DPR%22%20OR%20%22wakil%20rakyat%22%20OR%20%22Komisi%20DPR%22%20OR%20%22Gedung%20DPR%22)%20(%22RUU%22%20OR%20%22undang-undang%22%20OR%20%22kebijakan%22%20OR%20%22pengesahan%22%20OR%20%22reses%22%20OR%20%22rapat%20paripurna%22%20OR%20%22aspirasi%20rakyat%22)%20since%3A2018-01-01%20until%3A2018-12-31&src=typed_query&f=live
2018-12-30T04:49:36.000Z,@PN_MasikaICMI,Tabur Kebajikan Tebar Kebijakan @ICMIPusat @PN_MasikaICMI @PPPemudaMu @PCIMTurki @JimlyAs @fery @imam_nahrawi @fajribudi @kiky_martini @MasikaIcmi55 @masikaIcmiSumut @eemiiliiyaa @DPDRI @mprgoid @DPR_RI @Pak_JK @jokowi,https://x.com/search?q=(%22DPR%20RI%22%20OR%20%22Dewan%20Perwakilan%20Rakyat%22%20OR%20%22anggota%20DPR%22%20OR%20%22wakil%20rakyat%22%20OR%20%22Komisi%20DPR%22%20OR%20%22Gedung%20DPR%22)%20(%22RUU%22%20OR%20%22undang-undang%22%20OR%20%22kebijakan%22%20OR%20%22pengesahan%22%20OR%20%22reses%22%20OR%20%22rapat%20paripurna%22%20OR%20%22aspirasi%20rakyat%22)%20since%3A2018-01-01%20until%3A2018-12-31&src=typed_query&f=live
2018-12-30T04:36:10.000Z,@FauzanAnsorry,"6. Menaikkan Gaji PNS, TNI, dan Polri Dalam pidato penyampaian keterangan pemerintah atas RAPBN 2019 beserta nota keuangannya di depan Rapat Paripurna DPR RI #Kenangan2018Ku",https://x.com/search?q=(%22DPR%20RI%22%20OR%20%22Dewan%20Perwakilan%20Rakyat%22%20OR%20%22anggota%20DPR%22%20OR%20%22wakil%20rakyat%22%20OR%20%22Komisi%20DPR%22%20OR%20%22Gedung%20DPR%22)%20(%22RUU%22%20OR%20%22undang-undang%22%20OR%20%22kebijakan%22%20OR%20%22pengesahan%22%20OR%20%22reses%22%20OR%20%22rapat%20paripurna%22%20OR%20%22aspirasi%20rakyat%22)%20since%3A2018-01-01%20until%3A2018-12-31&src=typed_query&f=live
2018-12-30T04:15:38.000Z,@twitDMPM,Program Isu-isu Perundangan & Perbahasan Wakil Rakyat di SUK anjuran Unit Pemantauan dan Pelaksanaan Strategik (SPARK) dengan kerjasama Pertubuhan Lepasan Undang-undang dan Hak Asasi Manusia Kelantan (LUHAM)... https://facebook.com/179950305417081/posts/2131391873606238/…,https://x.com/search?q=(%22DPR%20RI%22%20OR%20%22Dewan%20Perwakilan%20Rakyat%22%20OR%20%22anggota%20DPR%22%20OR%20%22wakil%20rakyat%22%20OR%20%22Komisi%20DPR%22%20OR%20%22Gedung%20DPR%22)%20(%22RUU%22%20OR%20%22undang-undang%22%20OR%20%22kebijakan%22%20OR%20%22pengesahan%22%20OR%20%22reses%22%20OR%20%22rapat%20paripurna%22%20OR%20%22aspirasi%20rakyat%22)%20since%3A2018-01-01%20until%3A2018-12-31&src=typed_query&f=live
2018-12-30T01:20:48.000Z,@BoejangNoerdin,"Ketua DPR harus tau kapan dan dimana tempat berbicara. Jika tdk menyangkut kebijakan pemerintah dan negara, tentunya bebas berbicara di langit maupun dibumi. Tapu jika urusan negara dan pemerintahan, tempatnya ya di gedung DPR, gunakan semua hak yg kami rakyat berikan.",https://x.com/search?q=(%22DPR%20RI%22%20OR%20%22Dewan%20Perwakilan%20Rakyat%22%20OR%20%22anggota%20DPR%22%20OR%20%22wakil%20rakyat%22%20OR%20%22Komisi%20DPR%22%20OR%20%22Gedung%20DPR%22)%20(%22RUU%22%20OR%20%22undang-undang%22%20OR%20%22kebijakan%22%20OR%20%22pengesahan%22%20OR%20%22reses%22%20OR%20%22rapat%20paripurna%22%20OR%20%22aspirasi%20rakyat%22)%20since%3A2018-01-01%20until%3A2018-12-31&src=typed_query&f=live
